# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.400000184774398804e-02
7.669903939428205364e-01,7.669903939428205364e-01,7.669903939428205364e-01,7.669903939428205364e-01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.332000017166137695e+00
4.601942363656923440e+00,3.834951969714103015e+00,5.368932757599743866e+00,5.368932757599743866e+00,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.540999889373779297e+00
6.135923151542564291e+00,4.601942363656923440e+00,5.368932757599743866e+00,6.902913545485385605e+00,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.809000015258789062e+00
9.970875121256668194e+00,9.970875121256668194e+00,9.203884727313846881e+00,7.669903939428206030e+00,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.102999687194824219e+00
1.227184630308512858e+01,1.150485590914230905e+01,1.150485590914230905e+01,1.150485590914230905e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.137199974060058594e+01
1.380582709097077121e+01,1.380582709097077121e+01,1.457281748491359075e+01,1.303883669702794990e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.361600017547607422e+01
1.533980787885641206e+01,1.380582709097077121e+01,1.687378866674205113e+01,1.457281748491359075e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.584300041198730469e+01
1.917475984857051330e+01,1.917475984857051330e+01,1.764077906068487422e+01,1.610679827279923160e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.809399986267089844e+01
2.070874063645615593e+01,2.070874063645615593e+01,2.070874063645615593e+01,2.147573103039897546e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.046100044250488281e+01
2.300971181828461809e+01,2.300971181828461809e+01,2.377670221222743763e+01,2.147573103039897546e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.273100090026855469e+01
2.377670221222743763e+01,2.224272142434179855e+01,2.377670221222743763e+01,2.454369260617025716e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.503700065612792969e+01
2.607767339405589979e+01,2.607767339405589979e+01,2.607767339405589979e+01,2.377670221222743763e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.728899955749511719e+01
2.531068300011308025e+01,2.607767339405589979e+01,2.684466378799871933e+01,2.684466378799871933e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.950099945068359375e+01
2.837864457588436196e+01,2.684466378799871933e+01,2.991262536377000458e+01,2.684466378799871933e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.175699996948242188e+01
2.914563496982718149e+01,2.837864457588436196e+01,2.837864457588436196e+01,2.761165418194154242e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.405699920654296875e+01
2.991262536377000458e+01,2.837864457588436196e+01,2.914563496982718149e+01,2.991262536377000458e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.637300109863281250e+01
3.067961575771282412e+01,3.221359654559846319e+01,3.298058693954128273e+01,3.067961575771282412e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.863100051879882812e+01
3.144660615165564366e+01,3.144660615165564366e+01,3.298058693954128273e+01,3.221359654559846319e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.086199951171875000e+01
2.991262536377000458e+01,3.221359654559846319e+01,3.221359654559846319e+01,3.221359654559846319e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.311299896240234375e+01
3.374757733348410227e+01,3.374757733348410227e+01,3.451456772742692891e+01,3.221359654559846319e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.533700180053710938e+01
3.374757733348410227e+01,3.451456772742692891e+01,3.604854851531256799e+01,3.374757733348410227e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.758499908447265625e+01
3.221359654559846319e+01,3.298058693954128273e+01,3.451456772742692891e+01,3.451456772742692891e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.981700134277343750e+01
3.451456772742692891e+01,3.604854851531256799e+01,3.681553890925538752e+01,3.528155812136974845e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.207600021362304688e+01
3.528155812136974845e+01,3.681553890925538752e+01,3.911651009108385324e+01,3.528155812136974845e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.444100189208984375e+01
3.604854851531256799e+01,3.604854851531256799e+01,3.681553890925538752e+01,3.604854851531256799e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.671500015258789062e+01
3.374757733348410227e+01,3.681553890925538752e+01,3.911651009108385324e+01,3.681553890925538752e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.903699874877929688e+01
3.758252930319820706e+01,3.681553890925538752e+01,3.681553890925538752e+01,3.681553890925538752e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.129999923706054688e+01
3.528155812136974845e+01,3.834951969714102660e+01,3.834951969714102660e+01,3.758252930319820706e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.355400085449218750e+01
3.758252930319820706e+01,3.681553890925538752e+01,3.911651009108385324e+01,3.681553890925538752e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.578099822998046875e+01
3.604854851531256799e+01,3.911651009108385324e+01,3.988350048502667278e+01,3.988350048502667278e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.803600311279296875e+01
3.758252930319820706e+01,4.065049087896949231e+01,3.911651009108385324e+01,3.911651009108385324e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.040699768066406250e+01
3.834951969714102660e+01,3.834951969714102660e+01,3.911651009108385324e+01,3.758252930319820706e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.265599822998046875e+01
3.758252930319820706e+01,3.834951969714102660e+01,4.218447166685513139e+01,3.834951969714102660e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.488500213623046875e+01
3.834951969714102660e+01,3.911651009108385324e+01,4.065049087896949231e+01,3.988350048502667278e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.713600158691406250e+01
3.834951969714102660e+01,3.911651009108385324e+01,3.988350048502667278e+01,3.911651009108385324e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.934500122070312500e+01
3.758252930319820706e+01,4.218447166685513139e+01,4.371845245474077046e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.160399627685546875e+01
3.911651009108385324e+01,3.988350048502667278e+01,4.065049087896949231e+01,3.911651009108385324e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.386699676513671875e+01
3.911651009108385324e+01,3.834951969714102660e+01,3.988350048502667278e+01,3.911651009108385324e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.618599700927734375e+01
3.834951969714102660e+01,4.141748127291231185e+01,4.065049087896949231e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.849199676513671875e+01
3.834951969714102660e+01,3.834951969714102660e+01,4.371845245474077046e+01,3.911651009108385324e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.071499633789062500e+01
4.065049087896949231e+01,4.218447166685513139e+01,4.141748127291231185e+01,4.141748127291231185e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.296800231933593750e+01
3.988350048502667278e+01,4.141748127291231185e+01,4.448544284868359711e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.519599914550781250e+01
3.988350048502667278e+01,3.911651009108385324e+01,4.141748127291231185e+01,3.988350048502667278e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.744599914550781250e+01
3.988350048502667278e+01,4.141748127291231185e+01,4.295146206079795093e+01,4.295146206079795093e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.975299835205078125e+01
3.911651009108385324e+01,4.218447166685513139e+01,4.218447166685513139e+01,4.141748127291231185e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.020000000000000000e+02
3.911651009108385324e+01,4.218447166685513139e+01,4.141748127291231185e+01,4.295146206079795093e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.043560028076171875e+02
3.911651009108385324e+01,4.218447166685513139e+01,4.448544284868359711e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.066090011596679688e+02
4.218447166685513139e+01,3.988350048502667278e+01,4.218447166685513139e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.088759994506835938e+02
4.065049087896949231e+01,4.295146206079795093e+01,4.525243324262641664e+01,4.371845245474077046e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.111900024414062500e+02
3.911651009108385324e+01,4.065049087896949231e+01,4.295146206079795093e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.134550018310546875e+02
4.218447166685513139e+01,4.065049087896949231e+01,4.371845245474077046e+01,4.295146206079795093e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.157740020751953125e+02
4.065049087896949231e+01,4.371845245474077046e+01,4.371845245474077046e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.180309982299804688e+02
4.218447166685513139e+01,4.218447166685513139e+01,4.678641403051205572e+01,4.295146206079795093e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.203949966430664062e+02
4.141748127291231185e+01,4.141748127291231185e+01,4.295146206079795093e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.226719970703125000e+02
3.911651009108385324e+01,4.295146206079795093e+01,4.448544284868359711e+01,4.448544284868359711e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.248830032348632812e+02
4.218447166685513139e+01,4.295146206079795093e+01,4.448544284868359711e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.271399993896484375e+02
4.141748127291231185e+01,3.988350048502667278e+01,4.295146206079795093e+01,4.371845245474077046e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.293719940185546875e+02
3.988350048502667278e+01,4.448544284868359711e+01,4.601942363656923618e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.316179962158203125e+02
4.295146206079795093e+01,4.065049087896949231e+01,4.371845245474077046e+01,4.371845245474077046e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.338820037841796875e+02
4.141748127291231185e+01,4.371845245474077046e+01,4.448544284868359711e+01,4.141748127291231185e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.361900024414062500e+02
4.371845245474077046e+01,4.371845245474077046e+01,4.295146206079795093e+01,4.371845245474077046e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.385010070800781250e+02
4.065049087896949231e+01,4.218447166685513139e+01,4.601942363656923618e+01,4.295146206079795093e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.408260040283203125e+02
3.911651009108385324e+01,4.218447166685513139e+01,4.601942363656923618e+01,4.295146206079795093e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.430820007324218750e+02
4.371845245474077046e+01,4.218447166685513139e+01,4.371845245474077046e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.453869934082031250e+02
4.065049087896949231e+01,4.448544284868359711e+01,4.525243324262641664e+01,4.448544284868359711e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.476419982910156250e+02
4.065049087896949231e+01,4.218447166685513139e+01,4.448544284868359711e+01,4.141748127291231185e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.498769989013671875e+02
4.295146206079795093e+01,4.218447166685513139e+01,4.371845245474077046e+01,4.371845245474077046e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.521219940185546875e+02
4.141748127291231185e+01,4.448544284868359711e+01,4.448544284868359711e+01,4.525243324262641664e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.543910064697265625e+02
4.141748127291231185e+01,4.218447166685513139e+01,4.371845245474077046e+01,4.141748127291231185e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.566380004882812500e+02
4.218447166685513139e+01,4.218447166685513139e+01,4.525243324262641664e+01,4.371845245474077046e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.589080047607421875e+02
4.218447166685513139e+01,4.371845245474077046e+01,4.295146206079795093e+01,4.065049087896949231e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.612599945068359375e+02
3.988350048502667278e+01,4.448544284868359711e+01,4.525243324262641664e+01,4.448544284868359711e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.635160064697265625e+02
4.371845245474077046e+01,4.218447166685513139e+01,4.678641403051205572e+01,4.141748127291231185e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.658370056152343750e+02
4.065049087896949231e+01,4.371845245474077046e+01,4.371845245474077046e+01,4.141748127291231185e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.680930023193359375e+02
4.448544284868359711e+01,4.525243324262641664e+01,4.448544284868359711e+01,4.371845245474077046e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.704589996337890625e+02
