# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,-7.669903939428205364e-01,0.000000000000000000e+00,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.299999982118606567e-02
0.000000000000000000e+00,0.000000000000000000e+00,7.669903939428205364e-01,7.669903939428205364e-01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.204999923706054688e+00
3.834951969714103015e+00,4.601942363656923440e+00,4.601942363656923440e+00,3.067961575771282146e+00,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.385000228881835938e+00
5.368932757599743866e+00,4.601942363656923440e+00,6.135923151542564291e+00,6.135923151542564291e+00,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.514999866485595703e+00
6.902913545485385605e+00,7.669903939428206030e+00,8.436894333371025567e+00,8.436894333371025567e+00,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.692000389099121094e+00
1.073786551519948773e+01,9.970875121256668194e+00,9.203884727313846881e+00,8.436894333371025567e+00,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.083699989318847656e+01
1.150485590914230905e+01,9.203884727313846881e+00,7.669903939428206030e+00,1.227184630308512858e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.299899959564208984e+01
1.533980787885641206e+01,1.533980787885641206e+01,9.203884727313846881e+00,1.150485590914230905e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.512699985504150391e+01
1.533980787885641206e+01,1.610679827279923160e+01,2.147573103039897546e+01,1.687378866674205113e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.724399948120117188e+01
1.687378866674205113e+01,1.533980787885641206e+01,1.227184630308512858e+01,1.610679827279923160e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.941699981689453125e+01
1.994175024251333639e+01,1.994175024251333639e+01,1.380582709097077121e+01,1.533980787885641206e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.154999923706054688e+01
1.840776945462769376e+01,1.917475984857051330e+01,2.454369260617025716e+01,2.070874063645615593e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.374300003051757812e+01
2.224272142434179855e+01,2.070874063645615593e+01,1.610679827279923160e+01,2.070874063645615593e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.587500000000000000e+01
2.300971181828461809e+01,2.300971181828461809e+01,2.224272142434179855e+01,1.994175024251333639e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.804199981689453125e+01
2.454369260617025716e+01,2.531068300011308025e+01,1.840776945462769376e+01,2.300971181828461809e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.021100044250488281e+01
2.607767339405589979e+01,2.531068300011308025e+01,2.914563496982718149e+01,2.531068300011308025e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.233599853515625000e+01
2.531068300011308025e+01,2.684466378799871933e+01,1.610679827279923160e+01,2.454369260617025716e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.450400161743164062e+01
2.761165418194154242e+01,2.684466378799871933e+01,3.451456772742692891e+01,2.761165418194154242e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.663399887084960938e+01
2.914563496982718149e+01,2.837864457588436196e+01,8.436894333371025567e+00,2.837864457588436196e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.883599853515625000e+01
2.837864457588436196e+01,2.991262536377000458e+01,4.525243324262641664e+01,2.761165418194154242e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.098600006103515625e+01
