# CURRENT_M1, CURRENT_M2, CURRENT_M3, CURRENT_M4, PWM_M1, PWM_M2, PWM_M3, PWM_M4, DESIRED_M1, DESIRED_M2, DESIRED_M3, DESIRED_M4, TIMESTAMP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.586229858398437500e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.414419099861098417e+01,1.971364939963184781e+01,-1.971364939963184781e+01,-2.414419099861098417e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.608179931640625000e+02
2.300971181828461720e+00,7.669903939428205364e-01,-1.533980787885641073e+00,-3.067961575771282146e+00,2.752480263824643103e+01,2.337275284193042424e+01,-2.275264110842765319e+01,-2.690469090474365998e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.630679931640625000e+02
9.970875121256668194e+00,8.436894333371025567e+00,-8.436894333371025567e+00,-7.669903939428206030e+00,2.616081170095159081e+01,2.131624386856710274e+01,-2.118163705443013711e+01,-2.788654008732293477e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.653209838867187500e+02
1.687378866674205113e+01,1.227184630308512858e+01,-1.227184630308512858e+01,-1.533980787885641206e+01,2.407086435578986539e+01,2.101422542134798377e+01,-2.087961860721101459e+01,-2.558030145106933873e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.675999755859375000e+02
2.300971181828461809e+01,1.764077906068487422e+01,-1.610679827279923160e+01,-2.070874063645615593e+01,2.138956741689823104e+01,1.879894943643849459e+01,-1.990456608930707105e+01,-2.378832987395440313e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.698270263671875000e+02
2.837864457588436196e+01,2.224272142434179855e+01,-2.224272142434179855e+01,-2.761165418194154242e+01,1.825152769841364631e+01,1.626153748607302418e+01,-1.639614430020998981e+01,-1.981388713087516962e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.720999755859375000e+02
3.451456772742692891e+01,2.761165418194154242e+01,-2.607767339405589979e+01,-3.604854851531256799e+01,1.299526346852391434e+01,1.210536035008296452e+01,-1.321097700295154098e+01,-1.283189451461409725e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.765460205078125000e+02
3.374757733348410227e+01,2.837864457588436196e+01,-2.914563496982718149e+01,-3.451456772742692891e+01,1.279901540600702248e+01,1.091861848345080332e+01,-1.043311356408499790e+01,-1.298654455732603630e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.787199707031250000e+02
3.528155812136974845e+01,2.607767339405589979e+01,-2.761165418194154242e+01,-3.528155812136974845e+01,1.087703895711877600e+01,1.207771673669275714e+01,-1.083749326968721505e+01,-1.155007302780360057e+01,2.986294495808408911e+01,2.438299245470853194e+01,-2.438299245470853194e+01,-2.986294495808408911e+01,7.808449707031250000e+02
